Status,Paper ID,Title,openml-suites-2021,openml-python-2021,openml-2014,openml-r-2017,paper url
TRUE,282,Hyper-tune: Towards efficient hyper-parameter tuning at scale,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2201.06834
TRUE,1050,Meta-Learning: A Survey,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/1810.03548
TRUE,1653,Distributed Genetic Algorithm for Feature Selection,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2401.10846
TRUE,1186,Multi-fidelity optimization method with asynchronous generalized island model for automl,FALSE,FALSE,TRUE,FALSE,https://dl.acm.org/doi/abs/10.1145/3520304.3528917
TRUE,957,Precision-recall-gain curves: PR analysis done right,FALSE,FALSE,TRUE,FALSE,https://proceedings.neurips.cc/paper_files/paper/2015/hash/33e8075e9970de0cfea955afd4644bb2-Abstract.html
TRUE,986,Basis Function Encoding of Numerical Features in Factorization Machines for Improved Accuracy,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2305.14528
TRUE,653,"Check for GNN-DES: A New End-to-End Dynamic Ensemble Selection Method Based on Multi-label Graph Neural Network Mariana de Araujo Souza¹ (), Robert&nbsp;…",FALSE,FALSE,TRUE,FALSE,https://books.google.com/books?hl=de&lr=&id=E73SEAAAQBAJ&oi=fnd&pg=PA58&ots=bJb-QKhQiG&sig=XI7NSKAPexgkb08WLlxEKySzokQ
TRUE,1101,MetaQuRe: Meta-learning from Model Quality and Resource Consumption,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-031-70368-3_13
TRUE,1143,A Review of Machine Learning Ontologies,FALSE,FALSE,TRUE,FALSE,https://www.indianjournals.com/ijor.aspx?target=ijor:ijidt&volume=11&issue=4&article=001
TRUE,1467,Towards automated imbalanced learning with deep hierarchical reinforcement learning,FALSE,FALSE,TRUE,FALSE,https://dl.acm.org/doi/abs/10.1145/3511808.3557474
TRUE,443,Selectively Contextual Bandits,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2205.04528
TRUE,1432,Multilabel classification with R package mlr,FALSE,FALSE,TRUE,TRUE,https://arxiv.org/abs/1703.08991
TRUE,677,Towards provable network traffic measurement and analysis via semi-labeled trace datasets,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/8506498/
TRUE,740,Multi-objective parameter configuration of machine learning algorithms using model-based optimization,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/7850221/
TRUE,5,Counterfactuals: an R package for counterfactual explanation methods,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2304.06569
TRUE,979,Sequential datum–wise feature acquisition and classifier selection,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/10323439/
TRUE,589,Faster hyperparameter optimization via finding minimal regions in random forest regressor,FALSE,FALSE,TRUE,FALSE,https://www.sciencedirect.com/science/article/pii/S1877050922017136
TRUE,49,"Health Data Analytics: Current Perspectives, Challenges, and Future Directions",FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-030-42934-8_8
TRUE,497,A novel nonparametric feature selection approach based on mutual information transfer network,FALSE,FALSE,TRUE,FALSE,https://www.mdpi.com/1099-4300/24/9/1255
TRUE,810,One line to rule them all: Generating lo-shot soft-label prototypes,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/9534284/
TRUE,1533,Scalable and privacy preserving AI in federated environments,FALSE,FALSE,TRUE,FALSE,https://repositorio-aberto.up.pt/bitstream/10216/137218/2/511583.pdf
TRUE,669,TAEGAN: Generating Synthetic Tabular Data For Data Augmentation,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2410.01933
TRUE,480,Hiyerarşik Bölücü Kümeleme ile Çok Sınıflı Sınıflandırma Performansının Geliştirilmesi: Kümeleme Algoritmaları Üzerine Karşılaştırmalı Bir Analiz,FALSE,TRUE,TRUE,FALSE,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=13098640&AN=179989123&h=1n2oqQT6w%2FVDYI4rIPBzEDuIKeHu2Ngygj6%2B8M2QY5cHpUWwL4YmVU3a8pdDLRhl0VJC86LX0X%2BY5wLMwmoNQQ%3D%3D&crl=c
TRUE,1100,Shallow decision trees for explainable k-means clustering,FALSE,FALSE,TRUE,FALSE,https://www.sciencedirect.com/science/article/pii/S003132032200718X
TRUE,470,A comprehensive empirical comparison of hubness reduction in high-dimensional spaces,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s10115-018-1205-y
TRUE,790,Hyperparameter importance of quantum neural networks across small datasets,TRUE,FALSE,FALSE,FALSE,https://link.springer.com/chapter/10.1007/978-3-031-18840-4_3
TRUE,1092,Feature selection for classification with QAOA,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/9951190/
TRUE,1291,Design and implementation of a python evaluation engine for OpenML,FALSE,TRUE,FALSE,FALSE,https://research.tue.nl/files/306911186/Thesis_BDS_Peeters_Ranx.pdf
TRUE,967,Differentially-Private Data Synthetisation for Efficient Re-Identification Risk Control,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2212.00484
TRUE,739,Naive automated machine learning,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s10994-022-06200-0
TRUE,696,"<span class=""gs_ctu""><span class=""gs_ct1"">[ZITATION]</span><span class=""gs_ct2"">[C]</span></span> <span id=""pS6PELJXISEJ"">Games for Interpretability and Fairness</span>",FALSE,FALSE,TRUE,FALSE,
TRUE,184,Hypothesis perturbation for active learning,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/10637666/
TRUE,1210,CDACI: concept drift detection and adaptation to classify imbalanced data streams,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/8745380/
TRUE,54,Gaga: Deciphering age-path of generalized self-paced regularizer,FALSE,FALSE,TRUE,FALSE,https://proceedings.neurips.cc/paper_files/paper/2022/hash/cf62e560e900f38362990b24f1c3e706-Abstract-Conference.html
TRUE,410,Recombination suppression and evolutionary strata around mating-type loci in fungi: documenting patterns and understanding evolutionary and mechanistic&nbsp;…,FALSE,FALSE,TRUE,FALSE,https://hal.science/hal-02985458v1/file/nph17039%20proofs.pdf
TRUE,1715,"Parallel Lexing, Parsing and Semantic Analysis on
the GPU",FALSE,TRUE,TRUE,FALSE,https://theses.liacs.nl/pdf/2020-2021-VoetterRobin.pdf
TRUE,1321,EasyMl: An AutoMl System Using Meta Learning and Particle Swarm Optimization,FALSE,TRUE,TRUE,FALSE,https://search.proquest.com/openview/946963f9ad2cb0de767e71235fdbddf4/1?pq-origsite=gscholar&cbl=2026366&diss=y
TRUE,145,Proactively screening machine learning pipelines with arguseyes,FALSE,FALSE,TRUE,FALSE,https://dl.acm.org/doi/abs/10.1145/3555041.3589682
TRUE,866,Algorithm selection and configuration for Nois Intermediate Scale Quantum methods for industrial applications,TRUE,FALSE,FALSE,FALSE,Proactively screening machine learning pipelines with arguseyes
TRUE,48,Dimension reduction forests: local variable importance using structured random forests,FALSE,FALSE,TRUE,FALSE,https://www.tandfonline.com/doi/abs/10.1080/10618600.2022.2069777
TRUE,359,Multimodal AutoML on Tables with Text Fields,FALSE,FALSE,TRUE,FALSE,https://openreview.net/forum?id=9_eyi9ymJcZ
TRUE,569,Machine learning for probabilistic prediction,FALSE,FALSE,TRUE,FALSE,https://pure.royalholloway.ac.uk/files/46009689/2022manokhinvphd.pdf
TRUE,980,Learning on a Stream of Features with Random Forest.,FALSE,FALSE,TRUE,FALSE,https://ceur-ws.org/Vol-2473/paper12.pdf
TRUE,30,"Orometry, Intrinsic Dimensionality and Learning: Novel Insights into Network Data",TRUE,FALSE,FALSE,FALSE,https://kobra.uni-kassel.de/bitstream/handle/123456789/15182/DissertationMaximilianStubbemann.pdf?sequence=3
TRUE,830,Automatic Data Cleaning,FALSE,FALSE,TRUE,FALSE,https://pure.tue.nl/ws/portalfiles/portal/125540462/
TRUE,437,Interpretable differencing of machine learning models,FALSE,FALSE,TRUE,FALSE,https://proceedings.mlr.press/v216/haldar23a.html
TRUE,1076,A comparative evaluation of outlier detection algorithms: Experiments and analyses,FALSE,FALSE,TRUE,FALSE,https://www.sciencedirect.com/science/article/pii/S0031320317303916
TRUE,1198,Joints in random forests,FALSE,FALSE,TRUE,FALSE,https://proceedings.neurips.cc/paper/2020/hash/8396b14c5dff55d13eea57487bf8ed26-Abstract.html
TRUE,886,The Online Performance Estimation Framework,FALSE,FALSE,TRUE,FALSE,https://ada.liacs.nl/papers/RijEtAl18b.pdf
TRUE,987,An empirical study of modular bias mitigators and ensembles,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2202.00751
TRUE,599,Querying Easily Flip-flopped Samples for Deep Active Learning,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2401.09787
TRUE,1216,Automated data processing and feature engineering for deep learning and big data applications: a survey,FALSE,FALSE,TRUE,FALSE,https://www.sciencedirect.com/science/article/pii/S2949715924000027
TRUE,1719,Implementing Streaming Parallel Decision Trees on Graphic Processing Units,FALSE,FALSE,TRUE,FALSE,https://www.diva-portal.org/smash/record.jsf?pid=diva2:1220512
TRUE,858,Meta-learning hyperparameter performance prediction with neural processes,FALSE,FALSE,TRUE,FALSE,https://proceedings.mlr.press/v139/wei21c.html
TRUE,1175,GRANDE: GRADIENT-BASED DECISION TREE EN,TRUE,FALSE,FALSE,FALSE,https://www.researchgate.net/profile/Sascha_Marton2/publication/374381111_GRANDE_Gradient-Based_Decision_Tree_Ensembles_for_Tabular_Data/links/6548c8ecce88b87031cdab49/GRANDE-Gradient-Based-Decision-Tree-Ensembles-for-Tabular-Data.pdf
TRUE,165,Sparkle: Toward Accessible Meta-Algorithmics for Improving the State of the Art in Solving Challenging Problems,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/9920217/
TRUE,1674,Revisiting minimum description length complexity in overparameterized models,FALSE,FALSE,TRUE,FALSE,https://www.jmlr.org/papers/v24/21-1133.html
TRUE,1014,Integration of feature selection stability in model fitting,FALSE,FALSE,TRUE,TRUE,https://eldorado.tu-dortmund.de/bitstream/2003/40023/1/Dissertation_Bommert.pdf
TRUE,230,of thesis AutoML: Comparing Performance with Human-Designed Solu,FALSE,FALSE,TRUE,FALSE,https://aaltodoc.aalto.fi/server/api/core/bitstreams/f2919dfc-9053-463d-9fd8-f8a367326cb4/content
TRUE,1713,Democratising artificial intelligence to accelerate scientific discovery,FALSE,FALSE,TRUE,FALSE,https://www.oecd-ilibrary.org/science-and-technology/artificial-intelligence-in-science_be9632d7-en
TRUE,373,Why Do Tree Ensemble Approximators Not Outperform the Recursive-Rule eXtraction Algorithm?,FALSE,TRUE,FALSE,FALSE,https://www.mdpi.com/2504-4990/6/1/31
TRUE,781,SML-AutoML: A Smart Meta-Learning Automated Machine Learning Framework,FALSE,TRUE,TRUE,FALSE,https://www.academia.edu/download/104614536/latest.pdf
TRUE,941,Active Learning Query Strategy Selection Using Dataset Meta-features Extraction,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-031-34107-6_15
TRUE,7,Active Automated Machine Learning with Self-Training,FALSE,FALSE,TRUE,FALSE,https://openreview.net/forum?id=msuaCcTMQ2
TRUE,975,A Unified Approach to Extract Interpretable Rules from Tree Ensembles via Integer Programming,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2407.00843
TRUE,850,"Deep Learning Through A Telescoping Lens: A Simple Model Provides Empirical Insights On Grokking, Gradient Boosting &amp; Beyond",FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2411.00247
TRUE,713,"Hyperparameter optimization: Foundations, algorithms, best practices, and open challenges",FALSE,FALSE,TRUE,FALSE,https://wires.onlinelibrary.wiley.com/doi/abs/10.1002/widm.1484
TRUE,100,DivBO: diversity-aware CASH for ensemble learning,FALSE,FALSE,TRUE,FALSE,https://proceedings.neurips.cc/paper_files/paper/2022/hash/13b2f88be223cd2b4d6be67b56e02fa8-Abstract-Conference.html
TRUE,162,Can a Single Tree Outperform an Entire Forest?,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2411.17003
TRUE,521,Optimal resource allocation for early stopping-based neural architecture search methods,FALSE,FALSE,TRUE,FALSE,https://proceedings.mlr.press/v224/aach23a
TRUE,167,"KGLiDS: A Platform for Semantic Abstraction, Linking, and Automation of Data Science",FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/10597753/
TRUE,1599,PnT: Born-again tree-based model via fused decision path encoding,FALSE,FALSE,TRUE,FALSE,https://www.sciencedirect.com/science/article/pii/S1566253524003233
TRUE,776,Automatic gradient boosting,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/1807.03873
TRUE,341,TRBoost: a generic gradient boosting machine based on trust-region method,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s10489-023-05000-w
TRUE,1166,InterpreTabNet: Enhancing Interpretability of Tabular Data Using Deep Generative Models and Large Language Models,FALSE,FALSE,TRUE,FALSE,https://openreview.net/forum?id=kzR5Cj5blw
TRUE,1611,Explainable model-specific algorithm selection for multi-label classification,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/10022177/
TRUE,1565,Characterization of automated machine learning fitness landscapes,TRUE,FALSE,TRUE,FALSE,https://repositorio.ufmg.br/handle/1843/62093
TRUE,339,Beyond importance scores: Interpreting tabular ML by visualizing feature semantics,FALSE,FALSE,TRUE,FALSE,https://www.mdpi.com/2078-2489/13/1/15
TRUE,101,Fuzzy rough assisted missing value imputation and feature selection,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s00521-022-07754-9
TRUE,1088,Sharing taxonomic expertise between natural history collections using image recognition,FALSE,FALSE,TRUE,FALSE,https://www.research-collection.ethz.ch/handle/20.500.11850/538223
TRUE,543,Characterising surface roughness of Ti-6Al-4V alloy machined using coated and uncoated carbide tools with variable nose radius by machine learning,FALSE,FALSE,FALSE,TRUE,https://www.sciencedirect.com/science/article/pii/S0952197623007303
TRUE,1598,A Formal Model for Artificial Intelligence Applications in Automation Systems,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/10710890/
TRUE,1019,Technological Forecasting of Emerging Technologies,FALSE,FALSE,TRUE,FALSE,https://research-api.cbs.dk/ws/portalfiles/portal/68331331/1161097_Technological_Forecasting_of_Emerging_Technologies_A_study_of_predicting_emerging_technologies_using_machine_learning_algorithms.pdf
TRUE,146,Optimizing machine learning workloads in collaborative environments,FALSE,FALSE,TRUE,FALSE,https://dl.acm.org/doi/abs/10.1145/3318464.3389715
TRUE,140,Data Preprocessing Strategies in Imbalanced Data Classification,FALSE,FALSE,TRUE,FALSE,https://dspace.cuni.cz/handle/20.500.11956/174145
TRUE,1066,Regularization Cocktails for Tabular Datasets,FALSE,FALSE,TRUE,FALSE,https://openreview.net/forum?id=2d34y5bRWxB
TRUE,1476,LCDB 1.0: An extensive learning curves database for classification tasks,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-031-26419-1_1
TRUE,1042,Enhanced Machine-Learning Flow for Microwave-Sensing Systems for Contaminant Detection in Food,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/10596988/
TRUE,175,Reinforcement learning for bandits with continuous actions and large context spaces,FALSE,FALSE,TRUE,FALSE,https://ora.ox.ac.uk/objects/uuid:ff65d9b0-624c-42da-9055-ccb85d515341
TRUE,844,Neural Learning With Recoil Behavior in Hyperellipsoidal Structure,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/9120020/
TRUE,379,"Data vs classifiers, who wins?",FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2107.07451
TRUE,658,The information retrieval experiment platform,FALSE,FALSE,TRUE,FALSE,https://dl.acm.org/doi/abs/10.1145/3539618.3591888
TRUE,1012,Risk minimization from adaptively collected data: Guarantees for supervised and policy learning,TRUE,FALSE,FALSE,FALSE,https://proceedings.neurips.cc/paper/2021/hash/a0ae15571eb4a97ac1c34a114f1bb179-Abstract.html
TRUE,652,Distributions-free Martingales Test Distributions-shift,FALSE,FALSE,TRUE,FALSE,https://www.sciencedirect.com/science/article/pii/S1877050923009183
TRUE,1202,Automatic features generation and selection from external sources: a DBpedia use case,FALSE,FALSE,TRUE,FALSE,https://www.sciencedirect.com/science/article/pii/S0020025521009671
TRUE,3,A study of the correlation of metafeatures used for metalearning,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-030-85030-2_39
TRUE,981,Fast bayesian optimization of machine learning hyperparameters on large datasets,FALSE,FALSE,TRUE,FALSE,http://proceedings.mlr.press/v54/klein17a.html
TRUE,203,Non-mercer large scale multiclass least squares minimal complexity machines,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/8489089/
TRUE,78,A genetic programming encoder for increasing autoencoder interpretability,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-031-29573-7_2
TRUE,838,Distribution embedding networks for generalization from a diverse set of classification tasks,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2202.01940
TRUE,906,Towards interaction detection using topological analysis on neural networks,FALSE,TRUE,FALSE,FALSE,https://arxiv.org/abs/2010.13015
TRUE,913,Multi-objective counterfactual explanations,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-030-58112-1_31
TRUE,1314,Optimizing recommendations for clustering algorithms using meta-learning,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/9206807/
TRUE,1431,Open data science,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-030-01768-2_3
TRUE,200,SoilKsatDB: global soil saturated hydraulic conductivity measurements for geoscience applications,FALSE,FALSE,FALSE,TRUE,https://essd.copernicus.org/articles/13/1593/2021/
TRUE,417,Condition-based maintenance of naval propulsion systems: Data analysis with minimal feedback,FALSE,FALSE,TRUE,FALSE,https://www.sciencedirect.com/science/article/pii/S0951832017309973
TRUE,1322,Practical transfer learning for bayesian optimization,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/1802.02219
TRUE,317,A novel evaluation methodology for supervised Feature Ranking algorithms,TRUE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2207.04258
TRUE,1531,Automated Machine Learning under Resource Constraints,FALSE,TRUE,TRUE,FALSE,https://search.proquest.com/openview/8a5e94a9279d7fad6b10c11f35ca20ce/1?pq-origsite=gscholar&cbl=18750&diss=y
TRUE,1490,Marvin: An open machine learning corpus and environment for automated machine learning primitive annotation and execution,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/1808.03753
TRUE,178,Looking at Deep Learning Phenomena Through a Telescoping Lens,FALSE,FALSE,TRUE,FALSE,https://openreview.net/forum?id=hJ7hfAzsuT
TRUE,424,Vers une aide intelligible à l'analyse prédictive,FALSE,FALSE,TRUE,FALSE,https://hal.science/tel-04639667/
TRUE,750,"Automated machine learning: past, present and future",TRUE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s10462-024-10726-1
TRUE,181,Feature Selection for Performance Estimation of Machine Learning Workflows,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-031-33258-6_33
TRUE,688,AL: autogenerating supervised learning programs,FALSE,FALSE,TRUE,FALSE,https://dl.acm.org/doi/abs/10.1145/3360601
TRUE,1485,Improving the genetic bee colony optimization algorithm for efficient gene selection in microarray data,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s13748-018-0161-9
TRUE,1416,How large language models will disrupt data management,FALSE,FALSE,TRUE,FALSE,https://dl.acm.org/doi/abs/10.14778/3611479.3611527
TRUE,1433,A Regression-like Classification System for Geometric Semantic Genetic Programming.,FALSE,FALSE,TRUE,FALSE,https://novaresearch.unl.pt/files/15378974/Regression_like_Classification_System_Geometric_Semantic_Genetic.pdf
TRUE,473,Chacha for online automl,FALSE,FALSE,TRUE,FALSE,https://proceedings.mlr.press/v139/wu21d.html
TRUE,1623,Producing diverse rashomon sets of counterfactual explanations with niching particle swarm optimization algorithms,FALSE,FALSE,TRUE,FALSE,https://dl.acm.org/doi/abs/10.1145/3583131.3590444
TRUE,493,Cracking black-box models: Revealing hidden machine learning techniques behind their predictions,FALSE,FALSE,TRUE,FALSE,https://content.iospress.com/articles/intelligent-data-analysis/ida230707
TRUE,703,Does feature selection improve classification? A large scale experiment in OpenML,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-319-46349-0_14
TRUE,403,Can satellites predict yield? Ensemble machine learning and statistical analysis of Sentinel-2 imagery for processing tomato yield prediction,FALSE,FALSE,TRUE,FALSE,https://www.mdpi.com/1424-8220/23/5/2586
TRUE,1610,Automated machine learning with dynamic ensemble selection,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s10489-023-04770-7
TRUE,737,Performing reproductions to understand the state of reproducibility in current AI research,FALSE,FALSE,TRUE,FALSE,https://ntnuopen.ntnu.no/ntnu-xmlui/handle/11250/2571693
TRUE,706,DOFEN: Deep Oblivious Forest ENsemble,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2412.16534
TRUE,681,A survey of deep meta-learning,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s10462-021-10004-4
TRUE,1698,A dynamic multiple classifier system using graph neural network for high dimensional overlapped data,FALSE,FALSE,TRUE,FALSE,https://www.sciencedirect.com/science/article/pii/S156625352300461X
TRUE,170,Genetic programming for imputation predictor selection and ranking in symbolic regression with high-dimensional incomplete data,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/chapter/10.1007/978-3-030-35288-2_42
TRUE,1044,Learning Across Task with Surrogate Model Ensembles for Algorithm and Hyperparameter Optimization Selection,FALSE,FALSE,TRUE,FALSE,https://research.tue.nl/files/139941343/G_Manolache_Master_Thesis_on.pdf
TRUE,1177,"Trees, forests, chickens, and eggs: when and why to prune trees in a random forest",FALSE,FALSE,TRUE,FALSE,https://onlinelibrary.wiley.com/doi/abs/10.1002/sam.11594
TRUE,16,Efficient identification of approximate best configuration of training in large datasets,FALSE,FALSE,TRUE,FALSE,https://aaai.org/ojs/index.php/AAAI/article/view/4274
TRUE,189,Physician Friendly Machine Learning,FALSE,FALSE,TRUE,FALSE,https://search.proquest.com/openview/2f98bdb487b8b27d0946840a96e055df/1?pq-origsite=gscholar&cbl=18750&diss=y
TRUE,562,Information Theory for Trustworthy Machine Learning,FALSE,FALSE,TRUE,FALSE,https://search.proquest.com/openview/6870ba6f1006b64054e89d53e83f30e5/1?pq-origsite=gscholar&cbl=18750&diss=y
TRUE,1286,Autostacker: an Automatic Evolutionary Hierarchical Machine Learning System,FALSE,FALSE,TRUE,FALSE,https://openreview.net/forum?id=SyvCD-b0W
TRUE,865,Fast deterministic CUR matrix decomposition with accuracy assurance,FALSE,FALSE,TRUE,FALSE,http://proceedings.mlr.press/v119/ida20a.html
TRUE,41,Supervised dimensionality reduction for molecular data,FALSE,FALSE,TRUE,FALSE,https://helda.helsinki.fi/server/api/core/bitstreams/6931f81d-c196-408a-b44e-4d413f0fa374/content
TRUE,1696,"and Gärtner, Thomas (2017) Radon machines: effective parallelisation for machine learning. Advances in Neural Information Processing Systems, 30. ISSN&nbsp;…",FALSE,FALSE,TRUE,FALSE,https://core.ac.uk/download/pdf/132155754.pdf
TRUE,1305,"Challenges of reliable, realistic and comparable active learning evaluation",FALSE,FALSE,TRUE,FALSE,https://ceur-ws.org/Vol-1924/ialatecml_paper0.pdf
TRUE,1249,An efficient cellular automata-based classifier with variance decision table,FALSE,FALSE,TRUE,FALSE,https://www.mdpi.com/2076-3417/13/7/4346
TRUE,1276,FormulAI: Designing Rule-Based Datasets for Interpretable and Challenging Machine Learning Tasks,FALSE,FALSE,TRUE,FALSE,http://ojs.bonviewpress.com/index.php/AIA/article/view/1781
TRUE,1556,A new imputation method based on genetic programming and weighted KNN for symbolic regression with incomplete data,FALSE,FALSE,TRUE,FALSE,https://link.springer.com/article/10.1007/s00500-021-05590-y
TRUE,535,Mapping platforms into a new open science model for machine learning,FALSE,FALSE,TRUE,FALSE,https://www.degruyter.com/document/doi/10.1515/itit-2018-0022/html
TRUE,1380,ShrinkHPO: Towards Explainable Parallel Hyperparameter Optimization,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/10597846/
TRUE,915,The influence of sampling on imbalanced data classification,FALSE,FALSE,TRUE,FALSE,https://ieeexplore.ieee.org/abstract/document/8923714/
TRUE,1689,Detection d'anomalies contextuelles dans un graphe attribué,FALSE,FALSE,TRUE,FALSE,https://books.google.com/books?hl=de&lr=&id=xrFaEAAAQBAJ&oi=fnd&pg=PA387&ots=PCSNGdY8vZ&sig=tF4RmA8eTZchU42Eim9yS9fk6fE
TRUE,1617,Conceptual views on tree ensemble classifiers,TRUE,TRUE,FALSE,FALSE,https://www.sciencedirect.com/science/article/pii/S0888613X23000610
TRUE,1185,Artificial intelligence to advance Earth observation: a perspective,FALSE,FALSE,TRUE,FALSE,https://arxiv.org/abs/2305.08413
TRUE,116,Meta-Learning as a Markov Decision Process,FALSE,FALSE,TRUE,FALSE,https://hal.science/tel-02422144/
